,name,basetime,fctime,diag,obs,mb000
TTE-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,tte,0.0,21.913823996216017
MSLP_MIN_P-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,mslp_min_p,97862.89203630628,-71.03389767328918
FF10M_MAX_S4-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,ff10m_max_s4,14.498210003458802,1.563508581165685
FF925_MAX_S4-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,ff925_max_s4,17.676653400132782,1.7113019175172255
FF300_MAX_S4-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,ff300_max_s4,16.642402063072957,0.04871798236687752
Z500_P-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,z500_p,49110.93245779499,-477.2996223625014
TTE-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,tte,0.0,50.48743371979504
MSLP_MIN_P-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,mslp_min_p,97788.93842830407,-33.2237940862251
FF10M_MAX_S4-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,ff10m_max_s4,19.175634963899526,-1.5076087207840878
FF925_MAX_S4-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,ff925_max_s4,23.991735020915918,-2.5586322864759445
FF300_MAX_S4-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,ff300_max_s4,14.661235592689863,2.952616734177102
Z500_P-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,z500_p,49079.33407887243,-478.268500361286
TTE-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,tte,0.0,53.65808832638936
MSLP_MIN_P-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,mslp_min_p,97788.56951245615,-17.793512456133612
FF10M_MAX_S4-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,ff10m_max_s4,19.47078775527108,2.471775605478509
FF925_MAX_S4-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,ff925_max_s4,24.485744151815176,3.2942936257917985
FF300_MAX_S4-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,ff300_max_s4,19.098558100724137,-0.32453624149545846
Z500_P-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,z500_p,49195.42982899015,-506.0217310143198
TTE-VDG-2021121000-1-2021121100-048,VDG-2021121000-1,2021121100,48,tte,0.0,86.79255495999034
MSLP_MIN_P-VDG-2021121000-1-2021121100-048,VDG-2021121000-1,2021121100,48,mslp_min_p,97710.32313651899,-8.885085529022035
FF10M_MAX_S4-VDG-2021121000-1-2021121100-048,VDG-2021121000-1,2021121100,48,ff10m_max_s4,19.539980323558847,-0.39472902011718247
FF925_MAX_S4-VDG-2021121000-1-2021121100-048,VDG-2021121000-1,2021121100,48,ff925_max_s4,25.922325507827495,-1.7636608812207015
FF300_MAX_S4-VDG-2021121000-1-2021121100-048,VDG-2021121000-1,2021121100,48,ff300_max_s4,13.810558371136027,1.9320339868014127
Z500_P-VDG-2021121000-1-2021121100-048,VDG-2021121000-1,2021121100,48,z500_p,49002.79213558473,-285.2606565014794
TTE-VDG-2021121000-1-2021121100-054,VDG-2021121000-1,2021121100,54,tte,0.0,79.00340478815602
MSLP_MIN_P-VDG-2021121000-1-2021121100-054,VDG-2021121000-1,2021121100,54,mslp_min_p,97496.96279565494,87.09539542905986
FF10M_MAX_S4-VDG-2021121000-1-2021121100-054,VDG-2021121000-1,2021121100,54,ff10m_max_s4,19.33089691884171,-0.353530742964562
