,name,basetime,fctime,diag,obs,mb000
TTE-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,tte,0.0,28.23678747622585
MSLP_MIN_P-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,mslp_min_p,97862.89203630628,-43.676451558829285
FF10M_MAX_S4-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,ff10m_max_s4,14.498210003458802,0.865549035197251
FF925_MAX_S4-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,ff925_max_s4,17.676653400132782,0.9663837885934825
FF300_MAX_S4-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,ff300_max_s4,16.642402063072957,-0.8613144623915261
Z500_P-VDG-2021121000-1-2021121100-030,VDG-2021121000-1,2021121100,30,z500_p,49110.93245779499,-456.7448200109793
TTE-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,tte,0.0,40.91944684851852
MSLP_MIN_P-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,mslp_min_p,97788.93842830407,-24.007462684472557
FF10M_MAX_S4-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,ff10m_max_s4,19.175634963899526,0.05442653802000663
FF925_MAX_S4-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,ff925_max_s4,23.991735020915918,-0.05873725902867477
FF300_MAX_S4-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,ff300_max_s4,14.661235592689863,2.769939252784866
Z500_P-VDG-2021121000-1-2021121100-036,VDG-2021121000-1,2021121100,36,z500_p,49079.33407887243,-427.870102302797
TTE-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,tte,0.0,31.512447625477908
MSLP_MIN_P-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,mslp_min_p,97788.56951245615,7.9803357597847935
FF10M_MAX_S4-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,ff10m_max_s4,19.47078775527108,1.4967183602998126
FF925_MAX_S4-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,ff925_max_s4,24.485744151815176,1.5526211616349173
FF300_MAX_S4-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,ff300_max_s4,19.098558100724137,-0.8776843066747482
Z500_P-VDG-2021121000-1-2021121100-042,VDG-2021121000-1,2021121100,42,z500_p,49195.42982899015,-445.0341249740959
TTE-VDG-2021121000-1-2021121100-048,VDG-2021121000-1,2021121100,48,tte,0.0,131.41783782700702
